Training start,Training end,Test start,Test end,#Predicted Anomalies train,#ESA Anomalies train,#Predicted Anomalies test,#ESA Anomalies test,Precision,Recall,F0.5,tp,fp,fn,tnt,nt,tnrt
2000-01-01,2000-07-01,2000-07-01,2000-08-01,2651,1698,548,263,1.0,0.8571428571428571,0.9677419354838708,12,0,2,2591783.85,2591783.85,1.0
2000-02-01,2000-08-01,2000-08-01,2000-09-01,1223,1774,315,238,1.0,0.9090909090909092,0.980392156862745,10,0,1,2606381.871,2606381.871,1.0
2000-03-01,2000-09-01,2000-09-01,2000-10-01,1199,1775,336,257,1.0,0.75,0.9375,12,0,4,2436439.233,2436439.233,1.0
2000-04-01,2000-10-01,2000-10-01,2000-11-01,1055,1732,113,290,1.0,1.0,1.0,12,0,0,2537072.775,2537072.775,1.0
2000-05-01,2000-11-01,2000-11-01,2000-12-01,3268,1622,258,149,0.8749938577416749,0.7777777777777778,0.8536538595462397,7,1,2,2564185.4520000005,2564203.4520000005,0.9999929802762
2000-06-01,2000-12-01,2000-12-01,2001-01-01,1974,1440,212,259,1.0,1.0,1.0,15,0,0,1729945.9079999998,1729945.9079999998,1.0
2000-07-01,2001-01-01,2001-01-01,2001-02-01,1186,1456,79,177,0.9999833169237676,0.8181818181818182,0.9574345737034752,9,0,2,1871925.69,1871956.92,0.9999833169237676
2000-08-01,2001-02-01,2001-02-01,2001-03-01,5837,1366,498,144,0.9999970442391256,1.0,0.9999976353899028,7,0,0,2398360.134,2398367.223,0.9999970442391256
2000-09-01,2001-03-01,2001-03-01,2001-04-01,3326,1272,389,195,0.9090846956124,0.8333333333333334,0.8928523480101993,10,1,2,2633552.9280000003,2633570.9280000003,0.99999316517364
2000-10-01,2001-04-01,2001-04-01,2001-05-01,1131,1210,218,199,0.3630583905128128,1.0,0.4160595137831064,10,9,0,1764087.969,2557349.937,0.6898109419743443
2000-11-01,2001-05-01,2001-05-01,2001-06-01,1193,1119,173,138,1.0,1.0,1.0,7,0,0,2657585.22,2657585.22,1.0
