Training start,Training end,Test start,Test end,#Predicted Anomalies train,#ESA Anomalies train,#Predicted Anomalies test,#ESA Anomalies test,Precision,Recall,F0.5,tp,fp,fn,tnt,nt,tnrt
2000-01-01,2000-07-01,2000-07-01,2000-08-01,930,1698,357,263,0.8338663901312604,0.7857142857142857,0.8237695299511832,11,0,3,2161201.443,2591783.85,0.8338663901312604
2000-02-01,2000-08-01,2000-08-01,2000-09-01,1017,1774,242,238,1.0,0.9090909090909091,0.980392156862745,10,0,1,2606381.871,2606381.871,1.0
2000-03-01,2000-09-01,2000-09-01,2000-10-01,805,1775,299,257,1.0,0.625,0.8928571428571429,10,0,6,2436439.233,2436439.233,1.0
2000-04-01,2000-10-01,2000-10-01,2000-11-01,1083,1732,122,290,1.0,1.0,1.0,12,0,0,2537072.775,2537072.775,1.0
2000-05-01,2000-11-01,2000-11-01,2000-12-01,2112,1622,108,149,1.0,0.7777777777777778,0.945945945945946,7,0,2,2564203.4520000005,2564203.4520000005,1.0
2000-06-01,2000-12-01,2000-12-01,2001-01-01,2273,1440,320,259,0.8823345795006889,1.0,0.9035990519835742,15,2,0,1729909.9079999998,1729945.9079999998,0.9999791901007808
2000-07-01,2001-01-01,2001-01-01,2001-02-01,1833,1456,128,177,0.9999352388942797,0.8181818181818182,0.9573993143587858,9,0,2,1871835.6899999997,1871956.9199999997,0.9999352388942797
2000-08-01,2001-02-01,2001-02-01,2001-03-01,1644,1366,93,144,1.0,1.0,1.0,7,0,0,2398367.223,2398367.223,1.0
2000-09-01,2001-03-01,2001-03-01,2001-04-01,1461,1272,104,195,1.0,0.75,0.9375,9,0,3,2633570.9280000003,2633570.9280000003,1.0
2000-10-01,2001-04-01,2001-04-01,2001-05-01,1027,1210,231,199,0.610979883078864,0.9,0.6529144166427727,9,3,1,2083319.1539999999,2557349.937,0.8146398441051519
2000-11-01,2001-05-01,2001-05-01,2001-06-01,897,1119,142,138,1.0,1.0,1.0,7,0,0,2657585.22,2657585.22,1.0
2000-12-01,2001-06-01,2001-06-01,2001-07-01,1296,1108,461,248,1.0,1.0,1.0,12,0,0,2502243.159,2502243.159,1.0
2001-01-01,2001-07-01,2001-07-01,2001-08-01,667,1101,83,186,1.0,0.9,0.9782608695652175,9,0,1,2633440.119,2633440.119,1.0
2001-02-01,2001-08-01,2001-08-01,2001-09-01,863,1091,158,139,1.0,1.0,1.0,7,0,0,2657591.961,2657591.961,1.0
2001-03-01,2001-09-01,2001-09-01,2001-10-01,832,1086,111,184,1.0,0.9,0.9782608695652175,9,0,1,2566365.711,2566365.711,1.0
2001-04-01,2001-10-01,2001-10-01,2001-11-01,1284,1075,386,407,1.0,0.95,0.9895833333333334,19,0,1,2612902.398,2612902.398,1.0
2001-05-01,2001-11-01,2001-11-01,2001-12-01,1317,1283,490,349,1.0,1.0,1.0,17,0,0,2514248.8680000002,2514248.8680000002,1.0
2001-06-01,2001-12-01,2001-12-01,2002-01-01,1536,1494,454,402,0.5575662454568965,0.9523809523809523,0.6079740344008742,20,14,1,2483437.4040000006,2620039.4010000005,0.9478626172767239
2001-07-01,2002-01-01,2002-01-01,2002-02-01,1052,1667,373,579,0.9994963008474277,0.9333333333333333,0.9855237629800526,28,0,2,2535956.7600000002,2537234.7630000003,0.9994963008474277
2001-08-01,2002-02-01,2002-02-01,2002-03-01,1531,2060,419,456,0.43085196654606467,0.76,0.4717105450349424,19,23,6,2056743.6300000001,2159515.83,0.9524096102597219
2001-09-01,2002-03-01,2002-03-01,2002-04-01,1437,2377,165,174,1.0,0.9090909090909091,0.980392156862745,10,0,1,2477784.849,2477784.849,1.0
2001-10-01,2002-04-01,2002-04-01,2002-05-01,1343,2367,74,236,1.0,0.6,0.8823529411764706,9,0,6,2528799.951,2528799.951,1.0
2001-11-01,2002-05-01,2002-05-01,2002-06-01,2067,2195,411,425,0.9411253206132947,0.9166666666666666,0.9361297264977543,22,0,2,2224498.6019999995,2363658.2219999996,0.9411253206132947
2001-12-01,2002-06-01,2002-06-01,2002-07-01,2309,2271,136,206,0.5213118788319332,1.0,0.5765051082547887,11,9,0,2401983.255,2534165.907,0.9478397796944239
2002-01-01,2002-07-01,2002-07-01,2002-08-01,1400,2075,86,104,0.22491186398891314,1.0,0.2661734389135453,6,20,0,2591080.1190000004,2658559.47,0.9746180772852902
2002-02-01,2002-08-01,2002-08-01,2002-09-01,1408,1600,130,275,1.0,0.8666666666666667,0.9701492537313434,13,0,2,2463722.6429999997,2463722.6429999997,1.0
2002-03-01,2002-09-01,2002-09-01,2002-10-01,1598,1419,181,227,0.9999868102238848,1.0,0.9999894481512724,14,0,0,2477568.132,2477600.811,0.9999868102238848
2002-04-01,2002-10-01,2002-10-01,2002-11-01,1856,1473,200,287,1.0,1.0,1.0,16,0,0,2618349.648,2618349.648,1.0
2002-05-01,2002-11-01,2002-11-01,2002-12-01,1954,1524,198,226,0.45154338757120416,1.0,0.507176217614684,14,12,0,2137053.357,2548417.428,0.8385805769179506
2002-06-01,2002-12-01,2002-12-01,2003-01-01,2644,1325,2454,595,0.799944480408017,0.9411764705882353,0.8246950619472719,32,8,2,2334149.103000001,2334311.103000001,0.9999306005100213
2002-07-01,2003-01-01,2003-01-01,2003-02-01,1526,1714,413,376,0.9130295013750056,1.0,0.9291919589730498,21,2,0,2351672.781,2351708.781,0.999984691982149
2002-08-01,2003-02-01,2003-02-01,2003-03-01,1355,1966,107,217,1.0,0.8666666666666667,0.9701492537313434,13,0,2,2368694.124,2368694.124,1.0
2002-09-01,2003-03-01,2003-03-01,2003-04-01,1096,1908,93,209,1.0,0.9285714285714286,0.9848484848484849,13,0,1,2634740.94,2634740.94,1.0
2002-10-01,2003-04-01,2003-04-01,2003-05-01,923,1890,76,180,1.0,0.75,0.9375,9,0,3,2559449.199,2559449.199,1.0
2002-11-01,2003-05-01,2003-05-01,2003-06-01,1159,1783,101,303,1.0,0.8823529411764706,0.9740259740259741,15,0,2,2628600.669,2628600.669,1.0
2002-12-01,2003-06-01,2003-06-01,2003-07-01,801,1860,69,192,0.3890300739918522,0.75,0.4304661645422014,9,11,3,2211023.199,2557541.193,0.8645112755374493
