Training start,Training end,Test start,Test end,#Predicted Anomalies train,#ESA Anomalies train,#Predicted Anomalies test,#ESA Anomalies test,Precision,Recall,F0.5,tp,fp,fn,tnt,nt,tnrt
2000-01-01,2000-09-01,2000-09-01,2000-10-01,1587,2199,389,257,1.0,0.75,0.9375,12,0,4,2436439.233,2436439.233,1.0
2000-02-01,2000-10-01,2000-10-01,2000-11-01,2235,2269,164,290,1.0,1.0,1.0,12,0,0,2537072.775,2537072.775,1.0
2000-03-01,2000-11-01,2000-11-01,2000-12-01,1957,2322,97,149,1.0,0.7777777777777778,0.945945945945946,7,0,2,2564203.4520000005,2564203.4520000005,1.0
2000-04-01,2000-12-01,2000-12-01,2001-01-01,1585,2171,213,259,1.0,0.9333333333333333,0.9859154929577465,14,0,1,1729945.9079999998,1729945.9079999998,1.0
2000-05-01,2001-01-01,2001-01-01,2001-02-01,2296,2030,91,177,0.9999833169237676,0.8181818181818182,0.9574345737034752,9,0,2,1871925.6899999997,1871956.9199999997,0.9999833169237676
2000-06-01,2001-02-01,2001-02-01,2001-03-01,2395,1872,85,144,1.0,1.0,1.0,7,0,0,2398367.223,2398367.223,1.0
2000-07-01,2001-03-01,2001-03-01,2001-04-01,1932,1773,90,195,1.0,0.75,0.9375,9,0,3,2633570.9280000003,2633570.9280000003,1.0
2000-08-01,2001-04-01,2001-04-01,2001-05-01,2654,1705,190,199,0.9090845104216746,1.0,0.9259206156379522,10,1,0,2557331.937,2557349.937,0.9999929614638421
2000-09-01,2001-05-01,2001-05-01,2001-06-01,1007,1666,86,138,1.0,1.0,1.0,7,0,0,2657585.22,2657585.22,1.0
2000-10-01,2001-06-01,2001-06-01,2001-07-01,1616,1547,369,248,1.0,1.0,1.0,12,0,0,2502243.159,2502243.159,1.0
2000-11-01,2001-07-01,2001-07-01,2001-08-01,522,1505,65,186,1.0,0.8,0.9523809523809523,8,0,2,2633440.119,2633440.119,1.0
2000-12-01,2001-08-01,2001-08-01,2001-09-01,850,1523,129,139,1.0,1.0,1.0,7,0,0,2657591.961,2657591.961,1.0
2001-01-01,2001-09-01,2001-09-01,2001-10-01,1195,1407,141,184,1.0,0.9,0.9782608695652175,9,0,1,2566365.711,2566365.711,1.0
2001-02-01,2001-10-01,2001-10-01,2001-11-01,938,1414,146,407,1.0,0.95,0.9895833333333334,19,0,1,2612902.398,2612902.398,1.0
2001-03-01,2001-11-01,2001-11-01,2001-12-01,1362,1677,259,349,1.0,0.9411764705882353,0.9876543209876544,16,0,1,2514248.8680000002,2514248.8680000002,1.0
2001-04-01,2001-12-01,2001-12-01,2002-01-01,1487,1831,350,402,0.40605696783664846,0.9523809523809523,0.45868047864964684,20,26,1,2446936.0860000006,2620039.4010000005,0.9339310260242915
2001-05-01,2002-01-01,2002-01-01,2002-02-01,1958,2034,629,579,1.0,0.9333333333333333,0.9859154929577465,28,0,2,2537234.7630000003,2537234.7630000003,1.0
2001-06-01,2002-02-01,2002-02-01,2002-03-01,2175,2475,398,456,0.2673494203584539,0.8,0.3084193577823089,20,54,5,2136177.63,2159515.83,0.9891928553262793
2001-07-01,2002-03-01,2002-03-01,2002-04-01,2270,2702,533,174,1.0,1.0,1.0,11,0,0,2477784.849,2477784.849,1.0
2001-08-01,2002-04-01,2002-04-01,2002-05-01,1784,2690,74,236,1.0,0.6,0.8823529411764706,9,0,6,2528799.951,2528799.951,1.0
2001-09-01,2002-05-01,2002-05-01,2002-06-01,1765,2786,167,425,1.0,0.75,0.9375,18,0,6,2363658.2219999996,2363658.2219999996,1.0
2001-10-01,2002-06-01,2002-06-01,2002-07-01,2210,3027,113,206,1.0,1.0,1.0,11,0,0,2534165.907,2534165.907,1.0
2001-11-01,2002-07-01,2002-07-01,2002-08-01,2600,2826,82,104,1.0,1.0,1.0,6,0,0,2658559.47,2658559.47,1.0
2001-12-01,2002-08-01,2002-08-01,2002-09-01,2413,2581,279,275,1.0,1.0,1.0,15,0,0,2463722.6429999997,2463722.6429999997,1.0
2002-01-01,2002-09-01,2002-09-01,2002-10-01,2391,2454,163,227,0.9999868102238848,1.0,0.9999894481512724,14,0,0,2477568.132,2477600.811,0.9999868102238848
2002-02-01,2002-10-01,2002-10-01,2002-11-01,1478,2102,100,287,1.0,1.0,1.0,16,0,0,2618349.648,2618349.648,1.0
2002-03-01,2002-11-01,2002-11-01,2002-12-01,2828,1933,199,226,0.473698957893016,1.0,0.529426501818212,14,11,0,2155683.357,2548417.428,0.8458909962375285
