Training start,Training end,Test start,Test end,#Predicted Anomalies train,#ESA Anomalies train,#Predicted Anomalies test,#ESA Anomalies test,Precision,Recall,F0.5,tp,fp,fn,tnt,nt,tnrt
2000-01-01,2000-07-01,2000-07-01,2000-08-01,7895,1698,1434,263,0.021049540934481258,0.9285714285714286,0.02616365193591144,13,602,1,2580911.85,2591783.85,0.9958052057466135
2000-02-01,2000-08-01,2000-08-01,2000-09-01,13287,1774,2192,238,0.008377059678389906,0.9090909090909091,0.010447257340976646,10,1174,1,2585123.871,2606381.871,0.9918438659213649
2000-03-01,2000-09-01,2000-09-01,2000-10-01,13508,1775,2386,257,0.017151932611425225,0.9375,0.021342299316375577,15,854,1,2421013.233,2436439.233,0.993668629288568
2000-04-01,2000-10-01,2000-10-01,2000-11-01,8269,1732,1175,290,0.018349149547106966,1.0,0.02283170135822447,12,639,0,2525507.181,2537072.775,0.9954413629305529
2000-05-01,2000-11-01,2000-11-01,2000-12-01,11969,1622,1699,149,0.016006358612910217,0.7777777777777778,0.01990553625310757,7,429,2,2556427.4520000005,2564203.4520000005,0.9969674793184078
2000-06-01,2000-12-01,2000-12-01,2001-01-01,13275,1440,2253,259,0.03782374592085377,1.0,0.046836796627223516,15,380,0,1723069.9079999998,1729945.9079999998,0.9960253092491491
2000-07-01,2001-01-01,2001-01-01,2001-02-01,10850,1456,1468,177,0.02238917368541629,1.0,0.027830690565556034,11,478,0,1863159.7319999996,1871956.9199999997,0.9953005392880515
2000-08-01,2001-02-01,2001-02-01,2001-03-01,13306,1366,1696,144,0.006446932015356511,1.0,0.008045697502991162,7,1070,0,2378956.134,2398367.223,0.9919065400769947
2000-09-01,2001-03-01,2001-03-01,2001-04-01,13250,1272,2015,195,0.013105426177540102,1.0,0.016328285437074784,12,898,0,2617316.9280000003,2633570.9280000003,0.9938281517967911
2000-10-01,2001-04-01,2001-04-01,2001-05-01,5393,1210,980,199,0.02832950746048728,1.0,0.03516284778593817,10,342,0,2550185.937,2557349.937,0.9971986626091524
2000-11-01,2001-05-01,2001-05-01,2001-06-01,9558,1119,1534,138,0.010873321215080412,1.0,0.01355480508143595,7,634,0,2646119.22,2657585.22,0.9956855569809347
2000-12-01,2001-06-01,2001-06-01,2001-07-01,15098,1108,2844,248,0.01248822198807572,1.0,0.015561693015871528,12,942,0,2484261.159,2502243.159,0.9928136480520197
2001-01-01,2001-07-01,2001-07-01,2001-08-01,15979,1101,2831,186,0.011105443663472025,1.0,0.013843370386854086,10,885,0,2617474.119,2633440.119,0.9939372078807462
2001-02-01,2001-08-01,2001-08-01,2001-09-01,14921,1091,2556,139,0.007073839569361935,1.0,0.008826689814782846,7,976,0,2639969.961,2657591.961,0.9933691852403974
2001-03-01,2001-09-01,2001-09-01,2001-10-01,8638,1086,1278,184,0.014899147852064908,1.0,0.01855482205578666,10,658,0,2554209.0330000003,2566365.711,0.9952630765179359
2001-04-01,2001-10-01,2001-10-01,2001-11-01,7322,1075,1435,407,0.02737549849618423,1.0,0.03398677191437228,20,707,0,2600097.531,2612902.398,0.9950993703362968
2001-05-01,2001-11-01,2001-11-01,2001-12-01,16579,1283,2689,349,0.018852895173388333,1.0,0.023455567627307928,17,879,0,2498304.6960000005,2514248.8680000002,0.9936584750209382
2001-06-01,2001-12-01,2001-12-01,2002-01-01,6732,1494,1281,402,0.04601528100337262,1.0,0.056864937237658286,21,434,0,2612173.4010000005,2620039.4010000005,0.9969977550730734
2001-07-01,2002-01-01,2002-01-01,2002-02-01,12871,1667,2565,579,0.0388563208132615,1.0,0.048103123417667676,30,738,0,2523842.7630000003,2537234.7630000003,0.9947218128194943
2001-08-01,2002-02-01,2002-02-01,2002-03-01,14884,2060,2409,456,0.04872467815921381,1.0,0.060172871746575374,25,486,0,2150731.83,2159515.83,0.9959324215743304
2001-09-01,2002-03-01,2002-03-01,2002-04-01,12980,2377,1945,174,0.012293992670538928,1.0,0.01532040360576392,11,878,0,2461872.849,2477784.849,0.9935781349190097
2001-10-01,2002-04-01,2002-04-01,2002-05-01,4215,2367,438,236,0.06491348070063294,0.8666666666666667,0.07965039386475155,13,187,2,2525433.951,2528799.951,0.9986689338558913
2001-11-01,2002-05-01,2002-05-01,2002-06-01,16366,2195,2470,425,0.02747093642481099,1.0,0.034104450234961795,24,844,0,2348370.5549999997,2363658.2219999996,0.9935322006973307
2001-12-01,2002-06-01,2002-06-01,2002-07-01,12063,2271,1845,206,0.011552212997881572,1.0,0.014398682086763199,11,890,0,2397907.011,2534165.907,0.9462312646446632
2002-01-01,2002-07-01,2002-07-01,2002-08-01,9125,2075,1200,104,0.007051767151338364,1.0,0.008799196468020116,6,840,0,2643403.47,2658559.47,0.9942991683387093
2002-02-01,2002-08-01,2002-08-01,2002-09-01,9686,1600,1522,275,0.027619070542104763,1.0,0.03428709376230474,15,526,0,2454182.6429999997,2463722.6429999997,0.996127810885245
