Training start,Training end,Test start,Test end,#Predicted Anomalies train,#ESA Anomalies train,#Predicted Anomalies test,#ESA Anomalies test,Precision,Recall,F0.5,tp,fp,fn,tnt,nt,tnrt
2000-01-01,2000-07-01,2000-07-01,2000-08-01,2264,1698,447,263,0.3022625916464338,0.9285714285714286,0.3493950341818357,13,30,1,2591243.85,2591783.85,0.9997916492920503
2000-02-01,2000-08-01,2000-08-01,2000-09-01,2514,1774,357,238,0.18959361264097266,1.0,0.22626730677281548,11,47,0,2605535.871,2606381.871,0.9996754121069468
2000-03-01,2000-09-01,2000-09-01,2000-10-01,2682,1775,711,257,0.3512890539701042,0.8125,0.39627804387994986,13,24,3,2436007.233,2436439.233,0.9998226920687581
2000-04-01,2000-10-01,2000-10-01,2000-11-01,3207,1732,328,290,0.1275853055965842,1.0,0.15455199123757848,12,82,0,2535596.775,2537072.775,0.999418227173243
2000-05-01,2000-11-01,2000-11-01,2000-12-01,3583,1622,292,149,0.12494647460602513,0.8888888888888888,0.15088095601221224,8,56,1,2563105.4520000005,2564203.4520000005,0.9995717968482011
2000-06-01,2000-12-01,2000-12-01,2001-01-01,3947,1440,458,259,0.23425550565682773,1.0,0.27661947341612947,15,49,0,1729063.9079999998,1729945.9079999998,0.9994901574691317
2000-07-01,2001-01-01,2001-01-01,2001-02-01,3965,1456,319,177,0.15244889061272499,0.8181818181818182,0.18207955525956274,9,50,2,1870809.7319999996,1871956.9199999997,0.9993871717945304
2000-08-01,2001-02-01,2001-02-01,2001-03-01,2618,1366,233,144,0.1555111920406694,1.0,0.18711439441978941,7,38,0,2397683.223,2398367.223,0.9997148059757319
2000-09-01,2001-03-01,2001-03-01,2001-04-01,3629,1272,388,195,0.0999323352190346,0.9166666666666666,0.12160126492306142,11,99,1,2631788.9280000003,2633570.9280000003,0.9993233521903458
2000-10-01,2001-04-01,2001-04-01,2001-05-01,3134,1210,639,199,0.039906794014948295,1.0,0.04939073603637281,10,240,0,2551390.929,2557349.937,0.9976698503737074
2000-11-01,2001-05-01,2001-05-01,2001-06-01,2873,1119,376,138,0.04960033236968633,1.0,0.06124102170430968,7,134,0,2655173.22,2657585.22,0.9990924091608245
2000-12-01,2001-06-01,2001-06-01,2001-07-01,3301,1108,1181,248,0.061756854148495244,1.0,0.0760223425060754,12,182,0,2498245.764,2502243.159,0.9984024754006731
2001-01-01,2001-07-01,2001-07-01,2001-08-01,2203,1101,401,186,0.0587587963703694,1.0,0.07238517896519951,10,160,0,2630542.119,2633440.119,0.9988995382962798
2001-02-01,2001-08-01,2001-08-01,2001-09-01,2372,1091,378,139,0.057801914111346636,1.0,0.07122318355454417,7,114,0,2655326.025,2657591.961,0.9991473724961347
2001-03-01,2001-09-01,2001-09-01,2001-10-01,4736,1086,733,184,0.027630931464641188,0.9,0.03427559030672503,9,316,1,2560677.711,2566365.711,0.997783636223154
2001-04-01,2001-10-01,2001-10-01,2001-11-01,3319,1075,753,407,0.07130063488010273,1.0,0.08756493474007783,20,260,0,2608222.398,2612902.398,0.9982088883214382
2001-05-01,2001-11-01,2001-11-01,2001-12-01,1818,1283,538,349,0.515092506022287,1.0,0.5704119077685009,17,16,0,2513960.8680000002,2514248.8680000002,0.9998854528667923
