Training start,Training end,Test start,Test end,#Predicted Anomalies train,#ESA Anomalies train,#Predicted Anomalies test,#ESA Anomalies test,Precision,Recall,F0.5,tp,fp,fn,tnt,nt,tnrt
2000-01-01,2000-07-01,2000-07-01,2000-08-01,1018,1698,943,263,0.10888394760234346,0.8571428571428571,0.13191558340703882,12,88,2,2351697.1410000003,2591783.85,0.9073662300195289
2000-02-01,2000-08-01,2000-08-01,2000-09-01,1064,1774,266,238,0.9090595176118903,0.9090909090909091,0.9090657957342579,10,1,1,2606291.871,2606381.871,0.9999654693730794
2000-03-01,2000-09-01,2000-09-01,2000-10-01,798,1775,265,257,0.5496139858580253,0.6875,0.5725815457457739,11,9,5,2434729.233,2436439.233,0.9992981561055005
2000-04-01,2000-10-01,2000-10-01,2000-11-01,1317,1732,146,290,1.0,0.9166666666666666,0.9821428571428572,11,0,1,2537072.775,2537072.775,1.0
2000-05-01,2000-11-01,2000-11-01,2000-12-01,1412,1622,79,149,1.0,0.7777777777777778,0.945945945945946,7,0,2,2564203.4520000005,2564203.4520000005,1.0
2000-06-01,2000-12-01,2000-12-01,2001-01-01,4331,1440,387,259,1.0,1.0,1.0,15,0,0,1729945.9079999998,1729945.9079999998,1.0
2000-07-01,2001-01-01,2001-01-01,2001-02-01,6406,1456,437,177,1.0,0.8181818181818182,0.9574468085106381,9,0,2,1871956.9199999997,1871956.9199999997,1.0
2000-08-01,2001-02-01,2001-02-01,2001-03-01,2974,1366,161,144,1.0,1.0,1.0,7,0,0,2398367.223,2398367.223,1.0
2000-09-01,2001-03-01,2001-03-01,2001-04-01,4507,1272,489,195,1.0,0.75,0.9375,9,0,3,2633570.9280000003,2633570.9280000003,1.0
2000-10-01,2001-04-01,2001-04-01,2001-05-01,6003,1210,984,199,0.03944927944347463,1.0,0.048830022008482375,10,177,0,1886560.9499999997,2557349.937,0.7377015255929755
2000-11-01,2001-05-01,2001-05-01,2001-06-01,3706,1119,506,138,0.7777672418973894,1.0,0.8139442573478273,7,2,0,2657549.22,2657585.22,0.9999864538680721
2000-12-01,2001-06-01,2001-06-01,2001-07-01,1601,1108,529,248,1.0,0.9166666666666666,0.9821428571428572,11,0,1,2502243.159,2502243.159,1.0
2001-01-01,2001-07-01,2001-07-01,2001-08-01,2591,1101,430,186,0.22711116880690724,1.0,0.2686363804231447,10,34,0,2631568.119,2633440.119,0.9992891427503919
2001-02-01,2001-08-01,2001-08-01,2001-09-01,2307,1091,323,139,0.2117577251698005,1.0,0.2513887775456782,7,26,0,2653037.961,2657591.961,0.9982864186576308
2001-03-01,2001-09-01,2001-09-01,2001-10-01,1154,1086,228,184,0.6922057223091956,0.9,0.7257167880377268,9,4,1,2565987.711,2566365.711,0.9998527100021716
2001-04-01,2001-10-01,2001-10-01,2001-11-01,755,1075,210,407,0.714152857100766,1.0,0.7574561949397357,20,8,0,2612416.398,2612902.398,0.9998139999410725
2001-05-01,2001-11-01,2001-11-01,2001-12-01,1122,1283,292,349,0.227627232916274,0.9411764705882353,0.2683110220268509,16,54,1,2503862.8680000002,2514248.8680000002,0.9958691440086989
2001-06-01,2001-12-01,2001-12-01,2002-01-01,1844,1494,6929,402,0.215016893747851,1.0,0.2550605361354379,21,21,0,1126705.4670000006,2620039.4010000005,0.430033787495702
2001-07-01,2002-01-01,2002-01-01,2002-02-01,1968,1667,1264,579,0.07113664073007,0.9666666666666667,0.08731444158629333,29,368,1,2470850.7600000002,2537234.7630000003,0.9738360817185445
2001-08-01,2002-02-01,2002-02-01,2002-03-01,5321,2060,1036,456,1.0,0.88,0.9734513274336285,22,0,3,2159515.83,2159515.83,1.0
2001-09-01,2002-03-01,2002-03-01,2002-04-01,1612,2377,104,174,0.6248864913553275,0.45454545454545453,0.5813167670007446,5,3,6,2477334.849,2477784.849,0.999818386168524
2001-10-01,2002-04-01,2002-04-01,2002-05-01,2340,2367,96,236,1.0,0.7333333333333333,0.9322033898305084,11,0,4,2528799.951,2528799.951,1.0
2001-11-01,2002-05-01,2002-05-01,2002-06-01,1773,2195,172,425,0.6033536534015719,0.8333333333333334,0.6386013326208028,20,13,4,2353101.0089999996,2363658.2219999996,0.9955335281125935
2001-12-01,2002-06-01,2002-06-01,2002-07-01,1514,2271,68,206,1.0,1.0,1.0,11,0,0,2534165.907,2534165.907,1.0
2002-01-01,2002-07-01,2002-07-01,2002-08-01,1165,2075,67,104,0.18454262445446404,1.0,0.22050513164329727,6,23,0,2371318.119,2658559.47,0.8919560181965762
2002-02-01,2002-08-01,2002-08-01,2002-09-01,2076,1600,2303,275,1.0,0.8666666666666667,0.9701492537313434,13,0,2,2463722.6429999997,2463722.6429999997,1.0
2002-03-01,2002-09-01,2002-09-01,2002-10-01,3014,1419,160,227,0.9332803383555237,1.0,0.9459023959163717,14,1,0,2477460.132,2477600.811,0.9999432196666326
2002-04-01,2002-10-01,2002-10-01,2002-11-01,2785,1473,370,287,0.8419836920034399,1.0,0.8694615116052333,16,3,0,2617971.648,2618349.648,0.999855634254085
2002-05-01,2002-11-01,2002-11-01,2002-12-01,2427,1524,341,226,0.278566947353336,1.0,0.3255376750919531,14,26,0,2028299.6099999999,2548417.428,0.7959055638666743
2002-06-01,2002-12-01,2002-12-01,2003-01-01,2460,1325,1788,595,0.8090057292345652,1.0,0.8411361670007119,34,8,0,2332817.187000001,2334311.103000001,0.9993600184662276
