Training start,Training end,Test start,Test end,#Predicted Anomalies train,#ESA Anomalies train,#Predicted Anomalies test,#ESA Anomalies test,Precision,Recall,F0.5,tp,fp,fn,tnt,nt,tnrt
2000-01-01,2000-09-01,2000-09-01,2000-10-01,1709,2199,429,257,1.0,0.6875,0.9166666666666666,11,0,5,2436439.233,2436439.233,1.0
2000-02-01,2000-10-01,2000-10-01,2000-11-01,2140,2269,200,290,1.0,1.0,1.0,12,0,0,2537072.775,2537072.775,1.0
2000-03-01,2000-11-01,2000-11-01,2000-12-01,1518,2322,126,149,0.8749447196750751,0.7777777777777778,0.8536164427143264,7,1,2,2564041.4520000005,2564203.4520000005,0.9999368224858002
2000-04-01,2000-12-01,2000-12-01,2001-01-01,2568,2171,143,259,1.0,0.8666666666666667,0.9701492537313434,13,0,2,1729945.9079999998,1729945.9079999998,1.0
2000-05-01,2001-01-01,2001-01-01,2001-02-01,3787,2030,224,177,1.0,0.8181818181818182,0.9574468085106381,9,0,2,1871956.9199999997,1871956.9199999997,1.0
2000-06-01,2001-02-01,2001-02-01,2001-03-01,3928,1872,1131,144,0.02350793633056991,1.0,0.029213234697890385,7,280,0,2311607.223,2398367.223,0.9638253895533662
2000-07-01,2001-03-01,2001-03-01,2001-04-01,5052,1773,297,195,1.0,0.75,0.9375,9,0,3,2633570.9280000003,2633570.9280000003,1.0
2000-08-01,2001-04-01,2001-04-01,2001-05-01,3257,1705,259,199,0.2499155375661051,0.9,0.29211547839785895,9,27,1,2556485.937,2557349.937,0.9996621502644204
2000-09-01,2001-05-01,2001-05-01,2001-06-01,3783,1666,193,138,1.0,1.0,1.0,7,0,0,2657585.22,2657585.22,1.0
2000-10-01,2001-06-01,2001-06-01,2001-07-01,4015,1547,903,248,0.7999712258180262,1.0,0.8333083555950823,12,3,0,2502153.159,2502243.159,0.9999640322725326
2000-11-01,2001-07-01,2001-07-01,2001-08-01,1255,1505,118,186,1.0,0.8,0.9523809523809523,8,0,2,2633440.119,2633440.119,1.0
2000-12-01,2001-08-01,2001-08-01,2001-09-01,2407,1523,289,139,0.635988655753682,1.0,0.6859255953574891,7,4,0,2656025.961,2657591.961,0.9994107447557861
2001-01-01,2001-09-01,2001-09-01,2001-10-01,907,1407,91,184,1.0,0.9,0.9782608695652175,9,0,1,2566365.711,2566365.711,1.0
2001-02-01,2001-10-01,2001-10-01,2001-11-01,3026,1414,622,407,0.6891230649655201,1.0,0.734810171772051,20,9,0,2610886.398,2612902.398,0.9992284442000041
2001-03-01,2001-11-01,2001-11-01,2001-12-01,1659,1677,4684,349,0.02084428605398221,1.0,0.025920285108129108,17,693,0,2188793.1210000003,2514248.8680000002,0.8705554763721982
2001-04-01,2001-12-01,2001-12-01,2002-01-01,2010,1831,639,402,0.9090784179532893,0.9523809523809523,0.9174210155262819,20,2,1,2620003.4010000005,2620039.4010000005,0.9999862597486182
2001-05-01,2002-01-01,2002-01-01,2002-02-01,2245,2034,551,579,0.3204285825472408,0.9333333333333333,0.368875483131484,28,58,2,2497079.2260000003,2537234.7630000003,0.9841735035379539
2001-06-01,2002-02-01,2002-02-01,2002-03-01,2028,2475,191,456,0.894684637420982,0.68,0.8415472087771685,17,2,8,2159389.83,2159515.83,0.9999416535881563
2001-07-01,2002-03-01,2002-03-01,2002-04-01,3165,2702,242,174,0.9089588263043811,0.9090909090909091,0.9089852397911258,10,1,1,2477424.849,2477784.849,0.9998547089348192
2001-08-01,2002-04-01,2002-04-01,2002-05-01,2310,2690,64,236,0.8999743751972258,0.6,0.8181648760318976,9,1,6,2528727.951,2528799.951,0.9999715279969175
2001-09-01,2002-05-01,2002-05-01,2002-06-01,2921,2786,171,425,0.759687467505613,0.7916666666666666,0.7658749371003901,19,6,5,2362686.2219999996,2363658.2219999996,0.9995887730337013
