Training start,Training end,Test start,Test end,#Predicted Anomalies train,#ESA Anomalies train,#Predicted Anomalies test,#ESA Anomalies test,Precision,Recall,F0.5,tp,fp,fn,tnt,nt,tnrt
2000-01-01,2000-07-01,2000-07-01,2000-08-01,1335,1698,501,263,0.6662314451878384,0.8571428571428571,0.6972930590947549,12,6,2,2590091.85,2591783.85,0.9993471677817577
2000-02-01,2000-08-01,2000-08-01,2000-09-01,1486,1774,1207,238,0.04640029828842474,0.9090909090909091,0.05726960796510931,10,199,1,2527581.1319999998,2606381.871,0.9697662342280772
2000-03-01,2000-09-01,2000-09-01,2000-10-01,1299,1775,335,257,0.4394896486712419,0.6875,0.4736637624570371,11,14,5,2433613.233,2436439.233,0.9988401106164588
2000-04-01,2000-10-01,2000-10-01,2000-11-01,2007,1732,172,290,1.0,0.9166666666666666,0.9821428571428572,11,0,1,2537072.775,2537072.775,1.0
2000-05-01,2000-11-01,2000-11-01,2000-12-01,2180,1622,192,149,0.8749262929001003,0.7777777777777778,0.8536024111645228,7,1,2,2563987.4520000005,2564203.4520000005,0.9999157633144002
2000-06-01,2000-12-01,2000-12-01,2001-01-01,2592,1440,218,259,1.0,0.8666666666666667,0.9701492537313434,13,0,2,1729945.9079999998,1729945.9079999998,1.0
2000-07-01,2001-01-01,2001-01-01,2001-02-01,4198,1456,311,177,0.42816345214977336,0.8181818181818182,0.47328545720644577,9,12,2,1870174.9199999997,1871956.9199999997,0.9990480550161379
2000-08-01,2001-02-01,2001-02-01,2001-03-01,2929,1366,238,144,0.19327529808202515,0.8571428571428571,0.22870175592195285,6,25,1,2394983.223,2398367.223,0.9985890400904632
2000-09-01,2001-03-01,2001-03-01,2001-04-01,1979,1272,135,195,1.0,0.75,0.9375,9,0,3,2633570.9280000003,2633570.9280000003,1.0
2000-10-01,2001-04-01,2001-04-01,2001-05-01,2190,1210,764,199,0.16198918728045925,0.9,0.1937675273567241,9,35,1,2025285.963,2557349.937,0.7919471378155785
2000-11-01,2001-05-01,2001-05-01,2001-06-01,1546,1119,236,138,0.538246363365913,1.0,0.5930113972114859,7,6,0,2656523.22,2657585.22,0.9996003891081242
2000-12-01,2001-06-01,2001-06-01,2001-07-01,1857,1108,426,248,0.45780580666381193,0.9166666666666666,0.5087381786261415,11,13,1,2499363.159,2502243.159,0.9988490327210442
2001-01-01,2001-07-01,2001-07-01,2001-08-01,808,1101,73,186,0.7272379300647046,0.8,0.7407118621435017,8,3,2,2633314.119,2633440.119,0.9999521538389687
2001-02-01,2001-08-01,2001-08-01,2001-09-01,1295,1091,148,139,0.6997913900974506,1.0,0.744491969975438,7,3,0,2656799.961,2657591.961,0.999701985853501
2001-03-01,2001-09-01,2001-09-01,2001-10-01,824,1086,253,184,0.2189317596252826,0.9,0.25797604679127334,9,32,1,2559579.711,2566365.711,0.9973557938485097
2001-04-01,2001-10-01,2001-10-01,2001-11-01,914,1075,366,407,0.39534522669721245,0.95,0.44761270535300585,19,29,1,2609680.398,2612902.398,0.9987668884982209
2001-05-01,2001-11-01,2001-11-01,2001-12-01,981,1283,974,349,0.024077041613715693,0.9411764705882353,0.02990504537071551,16,582,1,2262520.839,2514248.8680000002,0.8998794303126241
2001-06-01,2001-12-01,2001-12-01,2002-01-01,1057,1494,4276,402,0.020699210398584435,0.9523809523809523,0.025734185203316155,20,614,1,1719178.0740000005,2620039.4010000005,0.6561649696351266
2001-07-01,2002-01-01,2002-01-01,2002-02-01,1643,1667,506,579,0.8483945569152895,0.9333333333333333,0.8641225960547337,28,5,2,2536964.7630000003,2537234.7630000003,0.9998935849358769
2001-08-01,2002-02-01,2002-02-01,2002-03-01,1770,2060,212,456,0.8887999800708414,0.64,0.8246810347546658,16,2,9,2159299.83,2159515.83,0.9998999775796966
2001-09-01,2002-03-01,2002-03-01,2002-04-01,7084,2377,597,174,0.7854346004138127,1.0,0.8206512741245002,11,3,0,2476902.849,2477784.849,0.9996440368903071
2001-10-01,2002-04-01,2002-04-01,2002-05-01,2135,2367,775,236,0.04335302083387143,0.7333333333333333,0.05340202408907635,11,191,4,2013225.966,2528799.951,0.7961191098583662
2001-11-01,2002-05-01,2002-05-01,2002-06-01,1704,2195,369,425,0.31358494157301414,0.7083333333333334,0.3529209333441652,17,37,7,2354424.2219999996,2363658.2219999996,0.9960933438201625
