Training start,Training end,Test start,Test end,#Predicted Anomalies train,#ESA Anomalies train,#Predicted Anomalies test,#ESA Anomalies test,Precision,Recall,F0.5,tp,fp,fn,tnt,nt,tnrt
2000-01-01,2000-07-01,2000-07-01,2000-08-01,17751,1698,3881,263,0.01153115167952783,1.0,0.014372506710685797,14,1143,0,2469885.312,2591783.85,0.9529673209438356
2000-02-01,2000-08-01,2000-08-01,2000-09-01,7564,1774,1363,238,0.029495150374203145,1.0,0.03659906424191135,11,361,0,2599793.871,2606381.871,0.9974723581094154
2000-03-01,2000-09-01,2000-09-01,2000-10-01,12197,1775,2244,257,0.029789724176608648,0.8125,0.0368989370188526,13,422,3,2428666.995,2436439.233,0.9968100012942125
2000-04-01,2000-10-01,2000-10-01,2000-11-01,11534,1732,1736,290,0.020359243049560275,1.0,0.025320178892915542,12,575,0,2526686.775,2537072.775,0.9959063058409903
2000-05-01,2000-11-01,2000-11-01,2000-12-01,15619,1622,1963,149,0.010006382097710837,0.8888888888888888,0.012472875272061545,8,787,1,2549803.4520000005,2564203.4520000005,0.9943842209600146
2000-06-01,2000-12-01,2000-12-01,2001-01-01,20188,1440,3720,259,0.05248371913712734,1.0,0.06475500307290859,15,270,0,1725085.9079999998,1729945.9079999998,0.9971906636054195
2000-07-01,2001-01-01,2001-01-01,2001-02-01,17667,1456,2513,177,0.02038056630219088,1.0,0.025346563548007878,11,526,0,1862488.9199999997,1871956.9199999997,0.9949421912978639
2000-08-01,2001-02-01,2001-02-01,2001-03-01,15728,1366,1912,144,0.009458377092132016,1.0,0.011795080784691575,7,729,0,2385130.134,2398367.223,0.9944807914013091
2000-09-01,2001-03-01,2001-03-01,2001-04-01,9685,1272,1272,195,0.052061081511458406,0.9166666666666666,0.06416530233431371,11,200,1,2629952.9280000003,2633570.9280000003,0.9986261999016113
2000-10-01,2001-04-01,2001-04-01,2001-05-01,11111,1210,3401,199,0.006351959268345737,1.0,0.007927360517653763,10,1159,0,1898944.9499999997,2557349.937,0.7425440384696167
2000-11-01,2001-05-01,2001-05-01,2001-06-01,6027,1119,779,138,0.04370436646806758,1.0,0.05404001196338781,7,153,0,2654813.22,2657585.22,0.9989569478415447
2000-12-01,2001-06-01,2001-06-01,2001-07-01,9720,1108,2577,248,0.020288804021149857,1.0,0.025233018086731365,12,577,0,2491839.159,2502243.159,0.9958421307047721
2001-01-01,2001-07-01,2001-07-01,2001-08-01,6866,1101,1276,186,0.01339789309687154,1.0,0.016691458776011463,10,732,0,2617965.15,2633440.119,0.9941236677878682
2001-02-01,2001-08-01,2001-08-01,2001-09-01,10800,1091,1869,139,0.011502022570206662,1.0,0.014336304089455762,7,599,0,2646287.961,2657591.961,0.9957465253636053
2001-03-01,2001-09-01,2001-09-01,2001-10-01,6448,1086,894,184,0.03477551131674388,1.0,0.04309472883832753,10,277,0,2561379.711,2566365.711,0.9980571747905496
2001-04-01,2001-10-01,2001-10-01,2001-11-01,11204,1075,2183,407,0.032020107138608894,1.0,0.039707276114419605,20,602,0,2601994.398,2612902.398,0.9958253320107366
2001-05-01,2001-11-01,2001-11-01,2001-12-01,17130,1283,3453,349,0.022464769896404262,1.0,0.02792413505337279,17,735,0,2498498.8680000002,2514248.8680000002,0.9937357036527061
2001-06-01,2001-12-01,2001-12-01,2002-01-01,14993,1494,2780,402,0.03862734680355112,0.9523809523809523,0.0477995118204055,20,496,1,2611093.4010000005,2620039.4010000005,0.996585547531619
2001-07-01,2002-01-01,2002-01-01,2002-02-01,11797,1667,2601,579,0.07892374966111514,1.0,0.09674580171751468,30,349,0,2529800.7600000002,2537234.7630000003,0.9970700373854211
2001-08-01,2002-02-01,2002-02-01,2002-03-01,5786,2060,1211,456,0.2230608685104854,0.92,0.26289110770127777,23,80,2,2157193.83,2159515.83,0.9989247589817389
2001-09-01,2002-03-01,2002-03-01,2002-04-01,8170,2377,1269,174,0.026031514466247414,0.9090909090909091,0.0323081100980756,10,373,1,2470368.849,2477784.849,0.997007004057276
2001-10-01,2002-04-01,2002-04-01,2002-05-01,10145,2367,1125,236,0.027439056306610973,0.8666666666666667,0.03402947327749101,13,459,2,2519313.951,2528799.951,0.9962488135938753
2001-11-01,2002-05-01,2002-05-01,2002-06-01,7183,2195,1509,425,0.09616657891076885,0.9583333333333334,0.11726636999743385,23,214,1,2342229.0089999996,2363658.2219999996,0.9909338783414009
2001-12-01,2002-06-01,2002-06-01,2002-07-01,17325,2271,2893,206,0.010589626706039997,1.0,0.013202082102248668,11,998,0,2461581.255,2534165.907,0.9713575769449415
2002-01-01,2002-07-01,2002-07-01,2002-08-01,9601,2075,958,104,0.027233211682935125,1.0,0.03381131691595615,6,214,0,2654707.47,2658559.47,0.9985510950409546
2002-02-01,2002-08-01,2002-08-01,2002-09-01,17155,1600,2696,275,0.01800794003562893,1.0,0.022409039882919257,15,813,0,2449034.6429999997,2463722.6429999997,0.9940382899667168
2002-03-01,2002-09-01,2002-09-01,2002-10-01,6490,1419,633,227,0.06819503238821774,1.0,0.08381485135950342,14,191,0,2474058.132,2477600.811,0.9985701171131882
2002-04-01,2002-10-01,2002-10-01,2002-11-01,16400,1473,2307,287,0.020617247864643924,1.0,0.025639406331942907,16,756,0,2604687.648,2618349.648,0.9947822094690694
2002-05-01,2002-11-01,2002-11-01,2002-12-01,6759,1524,2230,226,0.011759460749674062,1.0,0.014656238571537611,14,1005,0,2181243.357,2548417.428,0.8559207502798478
2002-06-01,2002-12-01,2002-12-01,2003-01-01,9411,1325,5637,595,0.08307489160015011,1.0,0.10173079579198363,34,373,0,2321368.095000001,2334311.103000001,0.994455320037091
2002-07-01,2003-01-01,2003-01-01,2003-02-01,7394,1714,1714,376,0.08519466521500726,1.0,0.10427246703863426,21,225,0,2346992.781,2351708.781,0.9979946496615135
2002-08-01,2003-02-01,2003-02-01,2003-03-01,26615,1966,3880,217,0.0192174333507088,1.0,0.02390693420968739,15,761,0,2354912.79,2368694.124,0.9941818853433353
2002-09-01,2003-03-01,2003-03-01,2003-04-01,8771,1908,1229,209,0.021085687458118202,1.0,0.026218898448104534,14,647,0,2623004.94,2634740.94,0.9955456721297237
2002-10-01,2003-04-01,2003-04-01,2003-05-01,9527,1890,1276,180,0.03480227171984756,1.0,0.04312760499291206,12,332,0,2553473.199,2559449.199,0.99766512263563
2002-11-01,2003-05-01,2003-05-01,2003-06-01,19391,1783,3308,303,0.020925209247137304,1.0,0.026020391027187575,17,791,0,2614308.669,2628600.669,0.9945628865698201
2002-12-01,2003-06-01,2003-06-01,2003-07-01,13173,1860,1961,192,0.018321488129150132,1.0,0.022797439407567476,12,640,0,2545949.193,2557541.193,0.9954675216838238
