Training start,Training end,Test start,Test end,#Predicted Anomalies train,#ESA Anomalies train,#Predicted Anomalies test,#ESA Anomalies test,Precision,Recall,F0.5,tp,fp,fn,tnt,nt,tnrt
2000-01-01,2000-07-01,2000-07-01,2000-08-01,5025,1698,1376,263,0.04945884333086471,1.0,0.061068460310838166,14,259,0,2499639.312,2591783.85,0.964447444951862
2000-02-01,2000-08-01,2000-08-01,2000-09-01,7031,1774,1321,238,0.03199643973789279,1.0,0.03967815971084138,11,332,0,2600405.871,2606381.871,0.9977071663724751
2000-03-01,2000-09-01,2000-09-01,2000-10-01,14941,1775,2849,257,0.020212873483540377,1.0,0.02513905870116996,16,771,0,2422358.355,2436439.233,0.9942207144716423
2000-04-01,2000-10-01,2000-10-01,2000-11-01,5996,1732,695,290,0.05373110309540913,1.0,0.06627363992443938,12,211,0,2533274.775,2537072.775,0.9985029991896862
2000-05-01,2000-11-01,2000-11-01,2000-12-01,7117,1622,502,149,0.10384213407156379,0.8888888888888888,0.12611927836699385,8,69,1,2562871.4520000005,2564203.4520000005,0.9994805404388013
2000-06-01,2000-12-01,2000-12-01,2001-01-01,9434,1440,1762,259,0.059376406071007456,1.0,0.07313488591770767,15,237,0,1725661.9079999998,1729945.9079999998,0.9975236219929253
2000-07-01,2001-01-01,2001-01-01,2001-02-01,8694,1456,566,177,0.14508731219333623,0.8181818181818182,0.17366038726792773,9,53,2,1871002.9199999997,1871956.9199999997,0.9994903728874274
2000-08-01,2001-02-01,2001-02-01,2001-03-01,10799,1366,1061,144,0.017669728876717222,1.0,0.02199002166569006,7,388,0,2391358.134,2398367.223,0.9970775580433289
2000-09-01,2001-03-01,2001-03-01,2001-04-01,11433,1272,1565,195,0.02437059794274886,0.9166666666666666,0.030262109509231822,11,439,1,2625614.9280000003,2633570.9280000003,0.9969790067488169
2000-10-01,2001-04-01,2001-04-01,2001-05-01,6574,1210,1998,199,0.008700000516524432,1.0,0.010851398851751726,10,844,0,1900059.969,2557349.937,0.7429800441111865
